month,count,sum,mean,median,stdev,min,max,range,minority,majority,variety,variance
04,27361.0,750369.09,27.42,28.75,1.33,26.09,28.75,2.66,26.09,28.75,2.0,1.77
08,27361.0,673035.13,24.6,25.69,1.1,23.49,25.69,2.2,23.49,25.69,2.0,1.21
12,27361.0,572655.99,20.93,22.6,1.68,19.24,22.6,3.36,19.24,22.6,2.0,2.82
02,27361.0,636114.75,23.25,24.86,1.63,21.61,24.86,3.25,21.61,24.86,2.0,2.65
01,27361.0,580196.79,21.21,22.9,1.71,19.48,22.9,3.42,19.48,22.9,2.0,2.93
07,27361.0,671866.7,24.56,25.59,1.04,23.51,25.59,2.08,23.51,25.59,2.0,1.08
06,27361.0,681871.79,24.92,25.81,0.89,24.02,25.81,1.78,24.02,25.81,2.0,0.8
03,27361.0,707609.55,25.86,27.34,1.49,24.36,27.34,2.98,24.36,27.34,2.0,2.23
05,27361.0,720480.51,26.33,27.47,1.14,25.18,27.47,2.28,25.18,27.47,2.0,1.3
11,27361.0,595349.76,21.76,23.34,1.59,20.16,23.34,3.17,20.16,23.34,2.0,2.52
10,27361.0,623069.35,22.77,24.16,1.4,21.37,24.16,2.8,21.37,24.16,2.0,1.95
09,27361.0,652031.29,23.83,24.98,1.16,22.67,24.98,2.32,22.67,24.98,2.0,1.34
